Source,Target,Path,Steps
housing demand,total pump installed capacity,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,12
housing demand,total pump installed capacity,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,12
housing demand,total water production,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production,12
housing demand,total water production,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production,12
housing demand,total water production,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production,12
housing demand,total water production,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production,12
housing demand,unitary opex,housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,12
land cover change,unitary opex,land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,12
land cover change,unitary opex,land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,12
new housing units completed,energy consumption per year,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,12
new housing units completed,energy consumption per year,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,12
new housing units completed,opex recovery,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,12
new housing units completed,opex recovery,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,12
new housing units completed,opex recovery,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,12
new housing units completed,opex recovery,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,12
new housing units completed,opex recovery,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,12
new housing units completed,opex recovery,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,12
new housing units completed,service time,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,12
new housing units completed,service time,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,12
new housing units completed,service time,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,12
new housing units completed,service time,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,12
planning approvals,opex recovery,planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,12
planning approvals,pumping efficiency,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,12
planning approvals,pumping efficiency,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,12
planning approvals,supply security,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,12
planning approvals,supply security,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,12
planning approvals,supply security,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,12
planning approvals,supply security,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,12
planning approvals,unitary opex,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,12
planning approvals,unitary opex,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,12
planning approvals,unitary opex,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,12
planning approvals,unitary opex,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,12
planning approvals,unitary opex,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,12
planning approvals,unitary opex,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,12
population growth rate,available fresh water per capita,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita,12
population growth rate,available fresh water per capita,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita,12
population growth rate,nature based solution,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,12
population growth rate,nature based solution,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,12
population growth rate,nature based solution,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,12
population growth rate,nature based solution,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,12
population growth rate,nature based solution,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,12
population growth rate,nature based solution,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,12
population growth rate,nature based solution,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> utci - universal thermal climate index -> nature based solution,12
population growth rate,nature based solution,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface absorption -> air temperature -> tmrt - mean radiant temperature -> pet - psychological equivalent temperature -> nature based solution,12
population growth rate,opex recovery,population growth rate -> urbanization -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,12
population growth rate,pumping efficiency,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,12
population growth rate,pumping efficiency,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,12
population growth rate,pumping efficiency,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,12
population growth rate,supply security,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,12
population growth rate,supply security,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,12
population growth rate,supply security,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,12
population growth rate,supply security,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,12
population growth rate,supply security,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,12
population growth rate,supply security,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,12
population growth rate,unitary opex,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,12
population growth rate,unitary opex,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,12
population growth rate,unitary opex,population growth rate -> urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,12
population growth rate,unitary opex,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,12
population growth rate,unitary opex,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,12
population growth rate,unitary opex,population growth rate -> urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,12
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,12
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,12
population growth rate,unitary opex,population growth rate -> urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,12
urbanization,energy consumption per year,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,12
urbanization,energy consumption per year,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,12
urbanization,energy consumption per year,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,12
urbanization,imported water level,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level,12
urbanization,imported water level,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level,12
urbanization,opex recovery,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,12
urbanization,opex recovery,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,12
urbanization,opex recovery,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,12
urbanization,opex recovery,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,12
urbanization,opex recovery,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,12
urbanization,opex recovery,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,12
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,12
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,12
urbanization,opex recovery,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,12
urbanization,service time,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,12
urbanization,service time,urbanization -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,12
urbanization,service time,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,12
urbanization,service time,urbanization -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,12
urbanization,service time,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,12
urbanization,service time,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,12
urbanization,total extraction,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction,12
urbanization,total extraction,urbanization -> housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction,12
vegetation coverage,opex recovery,vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,12
built up surface coverage,unitary opex,built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex,11
housing demand,energy consumption per year,housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,11
housing demand,imported water level,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level,11
housing demand,imported water level,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level,11
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,11
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,11
housing demand,opex recovery,housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,11
housing demand,service time,housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,11
housing demand,service time,housing demand -> planning approvals -> new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,11
housing demand,total extraction,housing demand -> planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction,11
housing demand,total extraction,housing demand -> planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction,11
land cover change,energy consumption per year,land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,11
land cover change,energy consumption per year,land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year,11
land cover change,opex recovery,land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,11
land cover change,opex recovery,land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,11
land cover change,opex recovery,land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,11
land cover change,opex recovery,land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex -> opex recovery,11
land cover change,opex recovery,land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex -> opex recovery,11
land cover change,opex recovery,land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex -> opex recovery,11
land cover change,service time,land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,11
land cover change,service time,land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,11
land cover change,service time,land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security -> service time,11
land cover change,service time,land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security -> service time,11
new housing units completed,opex recovery,new housing units completed -> land cover change -> soil material -> soil permeability -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency -> energy consumption per year -> unitary opex -> opex recovery,11
new housing units completed,pumping efficiency,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,11
new housing units completed,pumping efficiency,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity -> pumping efficiency,11
new housing units completed,supply security,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,11
new housing units completed,supply security,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,11
new housing units completed,supply security,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> supply security,11
new housing units completed,supply security,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> supply security,11
new housing units completed,unitary opex,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,11
new housing units completed,unitary opex,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,11
new housing units completed,unitary opex,new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,11
new housing units completed,unitary opex,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production -> unitary opex,11
new housing units completed,unitary opex,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year -> unitary opex,11
new housing units completed,unitary opex,new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production -> unitary opex,11
planning approvals,area affected by drought,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> area affected by drought,11
planning approvals,area affected by drought,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> area affected by drought,11
planning approvals,energy consumption per year,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year,11
planning approvals,energy consumption per year,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> energy consumption per year,11
planning approvals,total pump installed capacity,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,11
planning approvals,total pump installed capacity,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total pump installed capacity,11
planning approvals,total water production,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production,11
planning approvals,total water production,planning approvals -> new housing units completed -> land cover change -> vegetation coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> imported water level -> total water production,11
planning approvals,total water production,planning approvals -> new housing units completed -> land cover change -> built up surface coverage -> surface material -> surface emissivity -> lst - land surface temperature -> precipitation -> infiltration rate -> available fresh water per capita -> total extraction -> total water production,11
